ST_MONTH;AREA;COMPETENCY;HOURLY WORKLOAD
M2018_05;AREA 18;LOCALTEST 156;186.88
M2018_05;AREA 19;LOCALTEST 157;4.33
M2018_05;AREA 19;LOCALTEST 158;379.34
M2018_06;AREA 8;LOCALTEST 1;998.94
M2018_06;AREA 8;LOCALTEST 2;650.5
M2018_06;AREA 8;LOCALTEST 3;650.79
M2018_06;AREA 8;LOCALTEST 4;709.95
M2018_06;AREA 8;LOCALTEST 5;0
M2018_06;AREA 8;LOCALTEST 6;9.2
M2018_06;AREA 8;LOCALTEST 7;54.25
M2018_06;AREA 8;LOCALTEST 8;12.8
M2018_06;AREA 8;LOCALTEST 9;0
M2018_06;AREA 8;LOCALTEST 10;0
M2018_06;AREA 8;LOCALTEST 11;6.35
M2018_06;AREA 8;LOCALTEST 12;14
M2018_06;AREA 12;LOCALTEST 13;92.52
M2018_06;AREA 12;LOCALTEST 14;173.42
M2018_06;AREA 12;LOCALTEST 15;204.45
M2018_06;AREA 12;LOCALTEST 16;39.66
M2018_06;AREA 12;LOCALTEST 17;252.63
M2018_06;AREA 12;LOCALTEST 18;536.03
M2018_06;AREA 12;LOCALTEST 19;95.85
M2018_06;AREA 12;LOCALTEST 20;32.77
M2018_06;AREA 12;LOCALTEST 21;250
M2018_06;AREA 9;LOCALTEST 22;178.88
M2018_06;AREA 9;LOCALTEST 23;203.93
M2018_06;AREA 9;LOCALTEST 24;100.25
M2018_06;AREA 9;LOCALTEST 25;52.7
M2018_06;AREA 9;LOCALTEST 26;20.78
M2018_06;AREA 9;LOCALTEST 27;54.17
M2018_06;AREA 9;LOCALTEST 28;35.65
M2018_06;AREA 5;LOCALTEST 29;15.71
M2018_06;AREA 5;LOCALTEST 30;481.93
M2018_06;AREA 5;LOCALTEST 31;201.15
M2018_06;AREA 5;LOCALTEST 32;53.2
M2018_06;AREA 5;LOCALTEST 33;0
M2018_06;AREA 3;LOCALTEST 34;253.54
M2018_06;AREA 3;LOCALTEST 35;298.75
M2018_06;AREA 3;LOCALTEST 36;89.69
M2018_06;AREA 3;LOCALTEST 37;374.15
M2018_06;AREA 3;LOCALTEST 38;0
M2018_06;AREA 3;LOCALTEST 39;153.42
M2018_06;AREA 4;LOCALTEST 40;629.81
M2018_06;AREA 4;LOCALTEST 41;521.15
M2018_06;AREA 4;LOCALTEST 42;176.35
M2018_06;AREA 4;LOCALTEST 43;136.4
M2018_06;AREA 4;LOCALTEST 44;92.15
M2018_06;AREA 13;LOCALTEST 45;678.06
M2018_06;AREA 13;LOCALTEST 46;240.95
M2018_06;AREA 13;LOCALTEST 47;112.32
M2018_06;AREA 13;LOCALTEST 48;63.89
M2018_06;AREA 13;LOCALTEST 49;108.5
M2018_06;AREA 13;LOCALTEST 50;0
M2018_06;AREA 13;LOCALTEST 51;8.86
M2018_06;AREA 13;LOCALTEST 52;11.37
M2018_06;AREA 2;LOCALTEST 53;1242.91
M2018_06;AREA 2;LOCALTEST 54;273.32
M2018_06;AREA 2;LOCALTEST 55;542.48
M2018_06;AREA 2;LOCALTEST 56;168.1
M2018_06;AREA 2;LOCALTEST 57;478.08
M2018_06;AREA 2;LOCALTEST 58;40.07
M2018_06;AREA 2;LOCALTEST 59;9.5
M2018_06;AREA 10;LOCALTEST 60;558.8
M2018_06;AREA 10;LOCALTEST 61;128.66
M2018_06;AREA 10;LOCALTEST 62;849.7
M2018_06;AREA 10;LOCALTEST 63;247.87
M2018_06;AREA 10;LOCALTEST 64;191.05
M2018_06;AREA 10;LOCALTEST 65;72.07
M2018_06;AREA 10;LOCALTEST 66;404.35
